,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
77,Wed Feb 21 05:33:06 +0000 2024,0,setuju supir taksi jepang supir angkot jakarta wkwkwk ril cuy no fek gue mendingan supir angkot jkt nurunin penumpang mepet pinggir jalan supir taksi mah ditengah minggir wkwkwk,1760175794138312774,in,Indonesia,0,0,0,farahmhr,Jakarta-angkot.csv
78,Fri Apr 05 17:50:54 +0000 2024,0,emang anjing angkot jakarta kecopetan deket alfamart pasar senen dihadang orang sopir nungguin pake angkot ketiplek angkot video kerasa dicopet ilang hape ngejer barang bawaan bener orang ngelietin doang,1776306534534070491,in,"Bali, Indonesia",0,0,0,Septiawan7,Jakarta-angkot.csv
79,Sun May 26 11:29:55 +0000 2024,1,first jobber kota sih kerja jakarta tuh emang bener kos mrt lrt busway angkot ojol sampe ribu udah nyampe kantor gpp duit pas pasan cape fisik amp cape pikiran plus abis perjalanan,1794692439133110521,in,"Jakarta Capital Region, Indone",0,1,0,jayakabajay,Jakarta-angkot.csv
80,Sat Apr 13 01:41:31 +0000 2024,0,wkwkwk inget jakarta liat toko amp angkot sigernya berasa pulkam,1778961683941408924,in,Ravenclaw,0,0,0,kyunoona99,Jakarta-angkot.csv
81,Sat Mar 30 03:23:41 +0000 2024,2,angkot gw tinggal peremajaan armada supir suka nyetir trayek gemuk sisa orang tua muda muda udh ojol jakarta supir angkot udh gabung jaklingko pindah ojol wkwk,1773913965711819001,in,,0,2,0,ardi_tama1,Jakarta-angkot.csv
82,Sun Mar 17 05:56:22 +0000 2024,2,aloo bantu isi kuisioner penelitian ta kriterianya ragam transportasi jakarta tj angkot mrt lrt krl e money orang beruntung dm yaa barteran yupi,1769241345741422946,in,Indonesia,0,6,0,YUPIEN_FESS,Jakarta-angkot.csv
84,Thu Mar 14 08:15:00 +0000 2024,3,angkot jaklingko rp diminati warga jakarta,1768189070222708990,in,AUTOBASE — ❌POST MANUAL❌,0,21,0,worksfess,Jakarta-angkot.csv
85,Sat Feb 24 11:51:12 +0000 2024,3,nya takbiran rame rame nyewa angkot muter keliling jakarta atap angkotnya anjir seru banget,1761358109346550205,in,Indonesia,0,0,1,kompasiana,Jakarta-angkot.csv
86,Tue Apr 09 16:16:21 +0000 2024,0,tk diantar sd pas lhokseumawe jalan kaki pas medan full pas jakarta jemputan angkot smp jemputan sma angkot kuliah bawa mobil angkot,1777732292439667035,in,,0,0,0,wimpitito,Jakarta-angkot.csv
87,Wed May 08 11:03:48 +0000 2024,0,lalinsonora lintas ruas jl raya sawangan arah depok terpantau macet imbas kendaraan angkot mengalami gangguan mesin didekat pertigaan rs bhakti yudha via bp aang,1788162883064602949,in,"Jakarta Selatan, DKI Jakarta",0,0,0,zenethobarony,Jakarta-angkot.csv
